States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
DNH and DD,38.33,31,34.5,77.67,114,116,107,105.67,38.33,53,192.33,171,168.5,171.5,195,127,49.33,237.5,22,22.67,23.5,19,2022-12-20
Goa,42.5,41,39.5,77.5,128.5,117.5,115,101,40,53.5,195,184,154,170,163.5,106.5,55,312,23.5,37.5,33,23.5,2022-12-20
Gujarat,35.17,31.67,33.83,68,108.83,98.17,93.33,93.5,39.83,55.5,185.67,178.5,146,165,177.5,131.67,47.17,331,15,24,23,34.4,2022-12-20
Haryana,39,25.5,32.25,67,109.5,100,98.75,95.75,42.25,58,184.5,165,150,154,175.5,127,44.75,238.75,24.25,24.75,22.75,27.5,2022-12-20
Himachal Pradesh,33,24.5,32.67,69.08,112.5,107.5,98.67,92.75,42.67,51.27,198.25,179.83,144.73,143.9,172.5,139.8,42.17,263.64,26.33,27,30.92,34.75,2022-12-20
Jammu and Kashmir,38.25,29.25,40.25,81.75,118.75,119,113.75,105,49.25,51.75,250,196.5,165.5,171.75,187.5,139.67,47.25,311,25,28.25,31.75,38,2022-12-20
Jharkhand,37.57,30.25,34.57,73.43,107.43,101,100.64,87.43,43.54,54,192.6,167.85,135.54,159.62,177,120.5,43.54,288.42,22.85,21.23,27.15,24.92,2022-12-20
Karnataka,48.79,39.43,44.5,76.57,115.64,113,104.5,100.71,39.79,45,189.86,190.21,130.5,151.14,159.71,106.64,52.29,297.14,19.57,32.79,29.14,16.57,2022-12-20
Kerala,52.85,43.15,47.46,94.54,134,132.08,122.62,114.62,40.92,51.67,224.5,216,169.38,,164.15,113.83,59.38,232.23,14.23,43.38,29.15,32.62,2022-12-20
Madhya Pradesh,32.8,29.3,34.1,67.5,105.95,95.25,95.75,90.5,40.8,55.4,183.63,164.58,132.67,138,172.28,118.56,42.65,251.7,19.15,22.3,19.2,15.85,2022-12-20
Maharashtra,42.38,36.81,41.25,70.06,117.88,109.88,106.75,98.88,40.31,55.38,181.63,180.27,139,143.44,163.88,112.85,49.38,285.75,22.13,29.88,25.19,19.88,2022-12-20
Manipur,40,20,40,80,120,135,110,88,45,35,185,240,170,230,210,116,80,230,14,25,28,60,2022-12-20
Meghalaya,25.67,38.56,37.78,76.33,110.57,120.33,111,93.67,45.11,69.56,165,164.11,146.5,164.11,184.2,145,75,333.11,21.89,28.22,38.89,47.22,2022-12-20
Mizoram,46.57,39.75,43,93.25,120,120,112.5,110,50,73.43,187,196.4,174.75,161.29,177.33,131.33,93,234.29,26.71,39.71,55.29,64.14,2022-12-20
Nagaland,33.8,38.6,40.5,98.25,118.13,116.67,120.5,105.5,50,68.56,195,176.88,201.67,183.5,196.67,172.5,76,314,17.1,35.75,43.13,61.63,2022-12-20
Odisha,31.44,34.75,38.67,66.78,109,99.44,98.89,85.56,43.22,48.11,180,177.33,117.38,156.25,160.67,111,47.44,235,25,15.56,22.56,23,2022-12-20
Puducherry,35,39,36,73,119,121,105,95,41,44,177,185,158,,144,98,52,341,25,50,30,20,2022-12-20
Punjab,35,24.2,30,80.8,117.2,117.4,106.2,106.6,41,55.6,211.2,168.6,141.6,151.4,184.8,95,47,273.6,26.8,24.6,27.8,28.8,2022-12-20
Rajasthan,35.71,30.08,33.4,70.8,108.48,102.36,97.4,89.6,40.68,50.05,191.88,167.72,125.36,153.54,177.05,149.6,43.92,308.6,20.04,23.52,24.32,24.5,2022-12-20
Sikkim,53,35.25,40.75,79.75,123.25,126.25,113.5,103,47.75,62,,195.5,134.75,177.75,218,,53.75,475,18.75,35.75,38.25,37.5,2022-12-20
Tamil Nadu,51.5,40.25,47.5,73.5,122.13,121.5,108.75,96.13,39.38,41.88,218.25,197.57,132,,162.38,106.5,55.25,274.71,25,41.88,33,25.75,2022-12-20
Telangana,43.7,36.1,39.7,68.5,107.5,108.7,101.4,93.1,39.7,61,167.9,182.4,133.3,160,161.4,113.4,55.6,292.78,17.67,29.5,30.8,26.2,2022-12-20
Tripura,34,,38,73.33,113.67,111,101,106.33,44.67,70.33,,167.33,126.67,150.67,195,118,55,189.67,10.67,25,33.33,50.33,2022-12-20
Uttar Pradesh,34.5,27.93,33.29,70.74,107.06,103.42,100.19,93.73,41.16,58.02,187.22,165.35,140.13,154.13,176.08,119.82,44.82,257.98,24.98,21.31,22.92,25.36,2022-12-20
Uttarakhand,33.75,28,33,86.25,113.5,107.5,110,101,42.75,60.25,178.5,166,163.5,164.25,171,124,47,262.5,27.5,25.75,31,32,2022-12-20
West Bengal,39.29,26.2,34.86,71,115.71,107.14,107.57,102.86,43.43,49,187.8,168.43,125,148,170.29,118.57,51.29,263,17.71,17.57,28.29,30.43,2022-12-20
Andaman and Nicobar,47.33,40,65,83.67,126.67,139.67,123,114,51.67,67.33,224.5,218.67,204,,202.33,139,71.67,305,20.33,54.33,46,77,2022-12-21
Andhra Pradesh,54.25,40.5,43.75,71,116.25,123.5,107.5,105.5,41.25,56.25,175.5,195.5,137.75,170,160.25,109,56,341,20.5,36.25,29,37.5,2022-12-21
Arunachal pradesh,31,40,40,86.75,121.75,121.25,119.25,107.5,49.5,68.25,,162.5,168.25,165.75,206.67,138,73,283.33,20,32.5,37.5,60,2022-12-21
Assam,29.67,31.5,34.33,67,108,90.33,96,83.33,43,68.33,190,181,158,145.67,178.33,132.5,53,218.33,12.33,29.67,33.33,55.5,2022-12-21
Bihar,36.78,27.11,33.3,67.62,108.68,105.78,100.62,86.08,42.89,51.89,199.38,164.76,138.8,149.59,190.85,124.11,47.08,294.3,21.11,22.03,24.05,50,2022-12-21
Chandigarh,38,24,28,78,113,111,112,90,42,57,178,178,175,169,170,145,48,229,23,27,28,49,2022-12-21
Chhattisgarh,33.17,29.33,34,72.33,99.5,98.5,99.17,86.67,40.33,56.17,191.5,176.67,140.67,147.83,172.5,139.67,44.5,302.67,19.67,26.67,28,40.33,2022-12-21
Delhi,33,26,30,72,117,127,103,93,41,52,205,176,143,165,190,121,57,226,26,30,30,63,2022-12-21
DNH and DD,38.67,30.33,33.5,74.67,112,117.33,104.67,104.33,38.67,52.5,199.33,187.33,169,164,194.33,125.67,50,234,22.67,22.67,26.5,30,2022-12-21
Goa,42,39,35.5,77.5,119,117.5,114,101,40.5,54,198.5,182.5,148,162.5,161.5,111.5,53.5,310,23,38,36.5,56,2022-12-21
Gujarat,35.14,31.14,33.86,70.29,109.29,101.86,97.29,91.43,40.29,56.43,189.14,176.57,158,167,174.29,132.29,48.14,321.71,14.29,23.71,22.29,34.67,2022-12-21
Haryana,34.5,24,30.75,70.25,105.5,99.5,101.75,98.25,42,57.5,188,166,152.75,147.5,179,124.75,45.25,240.5,24.75,23.75,22.25,40.75,2022-12-21
Himachal Pradesh,33.2,29,31.2,67.3,111,107,96.2,90.9,42.55,49.2,185.67,173.8,147.4,140.89,175.67,143,43.73,251.2,26.09,31.5,31.3,52,2022-12-21
Jammu and Kashmir,38.67,29.67,42,82.33,123.33,120.67,108.33,104.33,48,52.33,250,196,165,162.33,182.67,144,49.33,307.33,24,30,35,63.33,2022-12-21
Jharkhand,34.91,28,32.18,71.73,104.73,101.18,100.36,88.18,42.44,53.38,191,169.45,139.36,153.18,185.33,116.5,45.11,294.13,21.78,22,28.7,46.89,2022-12-21
Karnataka,48.17,36.17,42.75,70.58,111.58,109.75,102.08,101.08,40.17,42.92,187.25,187.58,134.08,153.25,157.33,110.42,52.5,333.25,18.58,35.17,28.75,41.5,2022-12-21
Kerala,54.55,41.64,48.64,96.64,133.45,134.55,124.45,117.27,41.64,47.09,222,217.38,182,,163.27,116.9,61.45,236.64,14.36,43.45,33.64,48.55,2022-12-21
Madhya Pradesh,33.7,26.5,32.7,67.9,103.2,93,95.2,89.4,42.3,58.7,180.8,161.9,141.3,139.1,168.8,115,43,266.7,18.9,25.2,21.2,42.4,2022-12-21
Maharashtra,40.69,34,39.31,70.38,116.85,108.54,104,97.31,40.77,53.77,184.85,179.5,146.15,144.69,170.23,119.9,50.23,268.62,21.92,31.62,27.54,39,2022-12-21
Manipur,45,,45,80,120,135,120,90,45,60,180,170,177,157,210,140,,,14,28,27,60,2022-12-21
Meghalaya,25.57,37.14,35.29,75.6,109.5,120.83,106.83,91,44.86,69.14,165,157.14,146,151.14,190.6,142.67,73.67,331.43,23.29,33.86,42.57,48.57,2022-12-21
Mizoram,46.83,40,43.33,98.33,125,130,113.33,111.67,50,74,191,199.75,201,155.8,209,142,105,187.17,26.5,38.6,54,68.2,2022-12-21
Nagaland,32.45,37.8,39.36,95.63,118.57,115.63,121.5,101.82,50,67.22,195,171.67,196,185,196.67,172.5,74.5,340.89,17,33.89,45.56,63.33,2022-12-21
Odisha,31.89,34.38,35.67,67.44,110.22,96.67,96.11,86.67,43.67,48.11,178,170.44,122.89,155.5,168,115.33,48.33,235,24.11,25.22,27,46.22,2022-12-21
Puducherry,35,41,37,73,123,124,104,100,42,44,180,190,164,,150,100,53,335,25,40,30,35,2022-12-21
Punjab,39.25,24,28,76.25,123.25,123.5,110.5,114.25,42,54.5,227.25,172.5,149.75,157.25,196,98.5,52.75,298.5,25.5,26.25,30.25,50.75,2022-12-21
Rajasthan,38.17,30.33,32.67,80,112.67,104.67,100.17,96.33,41.83,49.83,193.5,174.5,146,168.33,192.25,152,47,270.5,21.5,27.83,27.33,43.67,2022-12-21
Sikkim,53,38,40,79,118,120,113,102,48,62,,198,143,176,220,,60,547,17,40,40,60,2022-12-21
Tamil Nadu,50.11,39.22,48,73.56,118.78,122.67,104.11,100.11,39.67,41.67,213.33,206.13,137.44,,167.11,110.67,53.89,272.13,24.56,39.78,33.11,34.11,2022-12-21
Telangana,42.4,35.8,38.6,68.2,104.6,107,98.6,94,40.6,58,168.8,186.4,145.8,171.33,161.4,118.8,54.4,287.2,18.2,28.6,30,45.4,2022-12-21
Tripura,32,,35,75,115,110,110,105,49,72,,169,135,155,190,135,52,179,10,30,35,58,2022-12-21
Uttar Pradesh,34.56,25.92,31.21,71.49,107.82,103.13,99.44,94.08,41.28,57.62,188.11,164.18,143.82,152.74,175.51,122.59,47.85,273.08,24.56,25.18,25,47.37,2022-12-21
Uttarakhand,33.5,27,32.75,88.25,112.25,109,111.5,101.25,42.5,59.5,181,165.75,163.75,164.25,171.25,122.5,46.75,261.25,27,26.5,29.25,41,2022-12-21
West Bengal,41,25.8,33.14,72,115.43,106.57,106.43,102,43,48.43,187.2,161.57,125.43,145.43,169,123.57,53.71,261.14,17,25.14,29.57,58.43,2022-12-21
Andaman and Nicobar,42,40,65.5,85,129,137,127.5,111.5,53,67.5,228,218.67,201.33,,205.67,134.67,77.5,305,21.5,46.67,48.33,73.33,2022-12-22
Andhra Pradesh,49.6,40.8,42.2,70.2,113.4,119.4,108.6,102.4,39.6,57.4,173.8,208.4,121.6,180,161.6,117.8,54.4,317.4,20.6,33.8,27.6,22.4,2022-12-22
Arunachal pradesh,34.67,41,42.67,85.67,120,119.67,118,106.67,49.33,67.67,,169,146,169.67,209,138,80,299.5,17,32,38.33,50,2022-12-22
Assam,37.5,30,36,70,108.91,100.7,100.55,93,43.55,66.73,198.5,180.75,150.27,160.58,182.6,131.6,52.64,223.64,11.82,19.73,28.64,38.64,2022-12-22
Bihar,36.18,28.71,34.66,67.47,108.89,106.03,100.53,86.16,42.71,52.39,197.44,166.05,136.81,152.87,190.82,120.9,45.39,291.42,21.5,20.34,22.61,31.82,2022-12-22
Chandigarh,38,28,35,74,114,109,103,95,42,55,194,176,145,155,178,123,53,272,27,26,30,38,2022-12-22
Chhattisgarh,33.71,30.71,34.14,69,100.57,95,99.14,89.43,40.29,54.14,187.86,176.43,132.43,147.57,168,133.43,45,291.86,22,24.29,24.71,14.57,2022-12-22
Delhi,34,28,33,72,120,118,103,92,41,52,209,184,143,161,198,112,44,226,26,23,27,27,2022-12-22
DNH and DD,38.33,31,34.5,78.33,114,116,107,105.67,38.33,60,192.33,171,168.5,171.5,195,127,48.67,237.5,25.5,22,24,17,2022-12-22
Goa,42.5,41,39.5,77.5,128.5,117.5,115,101,40,53.5,195.5,180.5,154,170,163.5,106.5,55,312,23.5,37.5,33,23.5,2022-12-22
Gujarat,35.4,30.2,33.6,71.2,107.8,102.4,100.2,90,40,56,182.5,180.5,152,157.25,179.5,140.5,44.75,348.25,13.75,24.75,21,38.67,2022-12-22
Haryana,33.33,24.33,31,64.67,103,94.33,92,87,41.33,55.33,190.67,165,145,150.33,178.33,118.33,41.67,223.33,23.33,21.67,20.33,25.67,2022-12-22
Himachal Pradesh,33.08,24.5,32.75,69.25,112.42,107.58,98.5,92.92,42.58,51.45,198.25,179.92,142.92,144.4,172.25,139.8,41.75,264.64,26.42,26.83,31.08,34,2022-12-22
Jammu and Kashmir,38.25,29.25,40.25,80.5,118.75,116.5,110,101.25,49.25,51.75,250,195.25,166.75,171.75,185,139.67,47.25,304.75,25,27.5,32.25,36.5,2022-12-22
Jharkhand,37.33,30.31,34.93,72.47,107,100.73,100.07,86.6,43.46,54,192.6,168.21,134.71,158.79,179,120.54,43.38,288.42,22.85,21.14,26.93,24.71,2022-12-22
Karnataka,48.09,40.05,43.82,76.14,115.05,115.32,105.5,101.77,39.35,44.8,186.33,187.38,132.24,151.9,157.95,105.33,49.2,321.65,18.74,33.67,29.14,19.43,2022-12-22
Kerala,52.69,44.15,47.77,94.77,136.08,133.69,123.77,115.08,40.85,52.38,222.86,209.89,167,,162.69,113.25,57.92,229.69,14,42.69,30.85,31.38,2022-12-22
Madhya Pradesh,33.05,29.29,34.52,67.33,105.62,95.05,95.05,91.05,40.52,55.43,182.38,163.65,131.6,137.95,171.26,118.4,41.76,252.1,19.1,21.76,18.38,14.1,2022-12-22
Maharashtra,42.63,37,41.44,70.19,117.75,109.38,106.44,98.81,40.31,55.38,182,180.47,139.75,143.94,163.75,113,49.31,285.31,22.13,29.5,25.06,19.5,2022-12-22
Manipur,40,20,40,80,120,135,110,88,45,,185,240,170,240,210,116,80,230,14,25,28,60,2022-12-22
Meghalaya,25.78,38.56,37.78,76.83,110.29,120.33,111.25,93.67,45.11,69.89,165,164,146.5,163.56,184,145,75.5,330.33,21.89,28.44,39,46.89,2022-12-22
Mizoram,45.25,40,44.25,87.5,115,115,105,106.25,49.4,72.4,180,199.33,148,158.75,165,123.5,82.33,278,27.4,39.5,55,66.5,2022-12-22
Nagaland,34.17,39,43,93.2,113,108.33,117.5,107.5,50.71,68.83,210,182.5,205,183,210,165,72.5,300,18.29,36,44.17,60.5,2022-12-22
Odisha,31.44,34.75,38.56,66.78,109,99.44,98.89,85.33,43.22,48.11,182,176,117.38,155.25,160,113.13,47.22,235,25,15.56,23.67,22.67,2022-12-22
Puducherry,35,39,36,73,119,121,105,95,41,44,177,185,158,,144,98,52,341,25,45,30,20,2022-12-22
Punjab,33.67,25.17,30.33,70.83,117.83,112.5,103.17,105.5,41,54.6,207.17,164.33,137.83,152.17,194.33,110.25,47,279.6,26.8,22.6,24.4,26.6,2022-12-22
Rajasthan,35.9,29.76,33.41,69.89,108.07,102.45,96.83,89.59,40.72,49.15,190.71,167.11,126.56,153.81,177.04,139.6,43.66,304.34,19.38,22.86,23.96,23.21,2022-12-22
Sikkim,53.67,36.33,39.33,79.67,124.33,125,116,106.67,48.67,62,,199.67,141.67,181.33,227.33,,55,493.33,18,35.33,37.67,38.33,2022-12-22
Tamil Nadu,51.33,40.22,48.78,73.44,122.44,122.78,108.67,97.67,39.44,42,218.33,203.5,132.56,,163.33,106.56,54.67,275.88,25.11,40.22,33.89,22.44,2022-12-22
Telangana,43,36.44,40.11,69.33,109,109.22,102.22,93.89,39.7,62,169.11,183.89,135.89,158.6,162,111.89,55.1,296.6,18,27.33,28.78,24.56,2022-12-22
Tripura,34,,38,73.33,115,109.67,100.33,105,44.67,70.33,,165.33,126,149.67,195,117.33,51.67,189.67,10.67,24,32.67,47,2022-12-22
Uttar Pradesh,34.47,28.05,33.29,71.03,106.86,103.64,100.29,93.36,41.33,58.38,187.89,165.75,139.41,154.71,176.39,120.04,45.17,252.7,25.02,20.75,22.54,23.75,2022-12-22
Uttarakhand,34,28.25,33.25,86.25,113.75,107.75,110.25,101,42.5,60,179,166,163.5,164.25,171,124,47,262.25,27.5,26,30.75,32,2022-12-22
West Bengal,39.29,26.2,34.86,71,115.71,107.14,107.71,102.86,43.43,49,187.8,168.71,124.86,148,171,118.57,51.29,264,17.71,17.29,27.43,29.71,2022-12-22
Andaman and Nicobar,41.67,40,65.67,84.33,129.33,137.67,126.67,111.67,51.67,68,224.5,220,200.67,,205.33,135.33,74,305,20.67,47.33,49.33,72.33,2022-12-23
Andhra Pradesh,49.6,40.8,42.2,70.2,113.4,119.4,108.6,102.4,40.75,56.75,173.8,208.4,121.6,180,161.6,117.8,54.5,346.75,20.75,34.2,27.8,22.8,2022-12-23
Arunachal pradesh,28.67,41,40,83.33,123.33,123.33,118.33,106.67,50,67,,179.33,172.67,170,214.33,138,80,285,21,30,37.5,50,2022-12-23
Assam,36.46,30.56,35.58,70.33,108,96.2,100.67,92.58,43.42,66.83,197.5,178.23,146.82,161.46,184.8,130.4,52.67,228.92,11.75,18.42,29.17,36.91,2022-12-23
Bihar,36.38,28.86,34.65,67.38,108.65,105.86,100.65,86.03,42.78,52.27,197.31,166.16,136.75,152.59,190.7,120.14,45.14,291.08,21.38,20.22,22.65,30.86,2022-12-23
Chandigarh,38,28,35,74,114,109,103,96,42,55,194,176,145,155,178,123,53,272,27,26,30,38,2022-12-23
Chhattisgarh,33.71,30.57,34.29,69,100.86,95.14,99.29,90,40.43,54.14,188.5,176.33,129.17,145.5,166.67,133.5,45.14,291.71,21.86,23.86,24.71,14.29,2022-12-23
Delhi,34,28,32,72,120,118,103,92,41,52,209,182,143,161,198,112,45,226,26,23,27,27,2022-12-23
DNH and DD,38.33,31,34.5,78.33,114,116,107,105.67,38.33,53,192.33,171,168.5,171.5,195,127,49.33,237.5,22,21.67,23.5,15,2022-12-23
Goa,42.5,41,39.5,77.5,128.5,117.5,115,101,40,53.5,195.5,180.5,154,170,163.5,106.5,55,312,23.5,37.5,33,23.5,2022-12-23
Gujarat,33.2,29.4,32.6,71.2,106.6,97.8,97.4,88.8,40.5,56.5,186.6,178.6,164.6,166.2,178.8,143.2,48,324,12.75,24.5,25.25,33,2022-12-23
Haryana,39,25.25,32.25,66.75,109.5,99.5,98.75,95.5,41.75,57.5,184.25,164.75,150,154,175.25,127,44.5,236.25,24.25,24.25,22.75,27.25,2022-12-23
Himachal Pradesh,33,25,32.58,69.25,111.83,107.58,98.33,92.83,42.5,51.45,198.25,179.08,142.67,144.3,171.75,139.8,41.67,264.64,26.58,26.17,29.83,32.83,2022-12-23
Jammu and Kashmir,38.25,29.25,40.25,81.75,118.75,118.25,112,103.25,48.75,51.75,250,195.25,163.75,171.75,185,139.67,47,308,24.75,27.5,31.75,35,2022-12-23
Jharkhand,37.33,30.54,34.93,72.73,107.2,101,100.87,86.73,43.31,53.91,196.89,168.93,135.14,158.93,179.17,121.15,43.46,288.42,22.85,20.77,27.08,24.15,2022-12-23
Karnataka,48,39.91,44.23,76.27,115.68,115.64,105.95,102.43,39,46.1,183.81,187.67,132.57,151.05,158.33,105.67,49.19,304.67,18.52,33.6,28.7,17.65,2022-12-23
Kerala,52,43.15,46,92.23,134,131.15,121,112.92,40.77,53.08,215.8,215.56,167.75,,162.46,112.33,57.46,229.31,14.15,42.46,31,30.69,2022-12-23
Madhya Pradesh,33,29.38,34.38,67.38,105.19,94.95,95.19,91.1,40.48,55.48,182.33,163.67,131.33,138.48,170.6,118.7,41.62,252.33,18.95,21.33,18.14,13.62,2022-12-23
Maharashtra,42.69,37.06,41.63,70.25,117.81,109.19,106.31,98.63,40.19,55.38,182.13,180.2,139.38,144.63,163.69,113.31,49.38,285.31,22.19,29.75,25.5,19.5,2022-12-23
Manipur,40,20,40,80,120,135,110,88,45,30,185,240,170,240,210,116,80,230,14,25,28,60,2022-12-23
Meghalaya,25.67,38.56,37.78,76.83,110.57,120.33,111,93.67,45.11,69.56,165,163.78,146.5,163.78,184.2,145,75,333.11,21.89,28.56,38.89,46.89,2022-12-23
Mizoram,47.2,40,44,96.5,120,130,110,108,49.5,75.5,,202.67,210,152,220,137,100,188.83,28.17,40.6,53.6,71,2022-12-23
Nagaland,35,43,35.67,96.67,117.5,115,115,95,48.33,72,210,167.5,207.5,176.25,205,165,80,283.33,14.33,31.67,36.67,55,2022-12-23
Odisha,31.38,34.75,38.38,66.63,107.13,99.25,98.13,85.25,43.38,48.13,182,176.13,117.38,155.25,160.63,113.38,45.88,234.29,25,15.75,24.38,21.75,2022-12-23
Puducherry,35,39,36,73,119,121,105,95,41,44,177,185,158,,144,98,52,341,25,45,30,20,2022-12-23
Punjab,33.25,25.38,30.13,74.5,117.38,113,103.13,103,41.5,56.83,208.67,164.67,139.17,151.67,184.33,112.25,48.83,289.67,27.33,23,24.83,29.5,2022-12-23
Rajasthan,37.27,29.54,33.42,70.88,106.85,102.62,96.96,89.73,40.96,50.21,189.35,166.58,129.48,155.15,174.75,148.2,43.81,309.65,19.72,22.84,24.28,23.04,2022-12-23
Sikkim,54.25,35.25,40.75,79.75,123.25,126.25,113.5,103,47.75,62,,195.5,134.75,177.75,218,,53.75,472.5,19,35,37,37.5,2022-12-23
Tamil Nadu,51.33,40.22,48.78,73.44,122.22,122.78,108.67,97.67,39.44,42,218.78,203.5,132.22,,163.33,106.89,54.78,275.88,25.11,39,33.22,21.56,2022-12-23
Telangana,43.11,36.56,40.11,69.44,110.11,109.78,102.67,94.44,39.67,62.89,169,184.75,133.38,154.75,160.38,110.63,55.44,299.44,18.44,26.38,28.88,23.38,2022-12-23
Tripura,33.5,,38.5,76,117.5,110.5,101.5,105,46,70.5,,162.5,134,152,195,121,52.5,199.5,10,27,37.5,41.5,2022-12-23
Uttar Pradesh,34.48,27.83,33.16,70.4,106.52,102.39,100.14,93.27,41.27,58.02,187.15,165.4,139.81,154.06,176,119.39,44.66,255.46,24.94,20.71,22.32,23.65,2022-12-23
Uttarakhand,34.5,28.25,33.75,87.25,114,109.25,111,103,41.67,59.33,178.5,167.25,163.5,164.25,163,124,49,255.33,27.33,26,31,32,2022-12-23
West Bengal,39.29,26.2,35,71,114.57,106,107.14,102.71,43.71,49.14,188,168.86,125.57,148.29,171.57,118.71,51.29,264.14,17.71,17.29,27.71,29.71,2022-12-23
Andaman and Nicobar,41.67,40,65.67,84.33,128.67,137.33,126.67,111.67,51.67,68,224.5,220,200.67,,205.33,135.33,73.67,305,20.67,46.67,48.33,70,2022-12-24
Andhra Pradesh,49.4,40.8,42.2,70.2,113.4,119.4,108.6,102.4,39.6,57.4,173.8,208.4,121.6,180,161.8,118,54.4,332.5,20.6,32.8,27,22,2022-12-24
Arunachal pradesh,33,,44,83.5,115,114.5,114.5,105,49,70,,164.5,145,164,240,,70,329,16.5,31,40,54.5,2022-12-24
Assam,36.47,30.56,36,69.86,109.57,99.42,101.29,92.64,43.36,67.14,198.5,178.4,147.79,159.4,178.92,127.08,52.79,227.86,11.5,19.36,28.86,37.79,2022-12-24
Bihar,35.94,28.79,34.82,67.44,109.06,106.24,100.12,86.21,42.74,52.38,196,165.68,135.81,152.18,188,119.85,44.88,293.38,21.32,20.56,22.26,30.94,2022-12-24
Chandigarh,38,28,35,74,114,109,103,96,42,55,194,176,145,156,178,123,53,272,27,26,30,38,2022-12-24
Chhattisgarh,33.86,31.14,34.86,69.71,102.14,96.14,99.71,90.71,40.57,54.14,188.43,177.14,132.71,148.57,168,135,45.57,294.29,21.86,24.43,25.14,14.86,2022-12-24
Delhi,34,28,32,70,118,120,100,90,41,52,209,183,143,159,195,110,45,227,26,23,25,25,2022-12-24
DNH and DD,41,38,41,83,118,118,117,114,43,60,177,182,177,175,185,126,65,290,24,22,24,17,2022-12-24
Gujarat,38,32,34.5,74,107.5,102.25,102.5,92.5,40.25,57,185,178,159,167.75,185.5,148,45.75,348.25,13,24.5,21.75,31.33,2022-12-24
Haryana,39,25.5,32.25,67,109.75,99.75,99,95.75,42.25,58,184.25,165,150,154,175.5,127,45,238.75,24.25,23.75,22.75,27.75,2022-12-24
Himachal Pradesh,33,25,32.58,69.25,111.83,107.5,98.17,93.08,42.5,51.45,198,178.83,142.67,144.3,171.75,139.8,41.67,264.64,26.58,25.92,29.75,32.92,2022-12-24
Jammu and Kashmir,38.75,29.5,40.25,82,119.25,118.5,112,103.25,50.33,47.67,250,196.75,163.5,171.75,186.5,139,48.33,309.67,27,27.75,32.25,36.75,2022-12-24
Jharkhand,37.2,30.62,34.87,72.8,108,101,101.33,86.67,43.54,53.91,192.5,168.36,134.71,158.71,179,121.31,43.62,288.92,22.85,21,27,23.07,2022-12-24
Karnataka,47.95,39.73,44,76.62,115.41,114.68,105.86,101.18,39.09,46.45,183.5,187.55,134.59,150.62,158.09,105.77,49.09,305.86,18.73,34.45,29.41,18.77,2022-12-24
Kerala,52.33,43.17,48.09,95.82,134.18,134.55,124.73,117.64,41.5,51.75,223.43,214.33,170.83,,164.17,116.09,61.08,239.58,14.5,43.75,32.08,30.75,2022-12-24
Madhya Pradesh,33.22,29.06,34.44,67.5,104,93.5,93.5,89.89,40.44,55.61,183,162.78,128.22,139.11,170.65,119.5,40.89,252.94,18.39,20.89,17.5,13,2022-12-24
Maharashtra,43.12,36.94,41.71,70.18,118.24,109.88,106.76,99.24,40.24,55.38,183.53,180.27,140,144.44,164,114.07,50.53,285.44,22.53,29.81,25.81,19.5,2022-12-24
Manipur,40,20,40,80,120,135,110,88,45,30,185,240,170,240,210,116,80,230,14,25,28,60,2022-12-24
Meghalaya,26.33,38.67,37.5,80,109.25,118,112,93.83,45.5,69.67,,163,146,159.33,184,142.33,80,365,23.17,30.17,41.17,50.33,2022-12-24
Mizoram,49.67,39,43,80,110,100,110,110,50,71.67,180,180,96,163.33,110,110,47,260,27.67,41.67,60,64,2022-12-24
Nagaland,30,43,34.33,92,107.5,106.67,111.67,95,49,73.25,210,165,210,169.5,205,165,76.67,280,18.6,37,38.75,53.25,2022-12-24
Odisha,31.43,34.71,38.71,66.86,109.14,99.71,99.14,84.43,43.29,48,182,174,112.71,161.33,156.86,108.14,45.71,232.33,25.43,15.14,24.43,20.71,2022-12-24
Puducherry,35,39,36,76,121,123,105,94,41,44,178,182,158,,144,100,52,341,25,45,30,20,2022-12-24
Punjab,33.25,24,30,73,118.5,119.25,106.5,110.25,41.25,54.5,218.2,166,135,152.4,199.2,100.33,48.75,287,26.5,23.5,25.5,28.25,2022-12-24
Rajasthan,36.37,29.79,33.3,68.25,108.5,103.85,97.2,90.3,41.26,50.88,187.79,166.32,124.29,154.79,175.69,140.33,45,310.53,19.83,23.05,23.84,22.11,2022-12-24
Sikkim,53.67,36.33,39.33,79.67,124.33,125,116,106.67,48.67,62,,199.67,141.67,181.33,227.33,,55,493.33,18,35,37.67,38.33,2022-12-24
Tamil Nadu,51.33,40.22,48.78,73.44,122.22,122.78,108.67,97.67,39.44,42,218.78,203.5,132.22,,163.33,106.89,54.78,275.88,25.11,38.89,33.22,21,2022-12-24
Telangana,42.89,36.56,40,69.33,109.78,109.78,102.56,94.56,39.7,62,169.11,183.89,135.89,158.6,162,112,55.1,296.7,18,26.33,28.78,24.78,2022-12-24
Tripura,34,,38.33,73.33,115.67,109.67,100.33,105,44.67,70.33,,165.33,126,149.67,195,117.33,51.67,189.67,10.67,24,32.67,47,2022-12-24
