States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Chhattisgarh,32,30,35,72.8,100.4,99.4,99.8,88.6,40.6,56.8,190.4,173.6,137,143.2,172.4,138.2,45.2,320.4,19.25,24.6,24.4,37.8,2022-10-02
Delhi,33,25,30,70,110,125,100,90,40,52,206,179,151,148,198,112,55,227,26,30,25,50,2022-10-02
Gujarat,38,32,34.4,72.4,107.4,101.6,100.6,94.4,40.4,57,182,171,155.6,160.6,173.8,138.6,46.8,330.8,13.4,25,25.8,36.5,2022-10-02
Haryana,33.33,24,30.33,68.33,103.67,91,95.67,88.67,42,56,195.33,170,156.67,151,182.33,136.33,44,250,25.5,21,20,27.5,2022-10-02
Himachal Pradesh,33.3,,31,68.5,112.3,106.4,95.7,91.5,42.7,49.11,185.67,173.3,148,141.78,176,130,43.4,242.44,25.7,31.2,28.4,46.6,2022-10-02
Jharkhand,33.75,28.33,32,72,105,102,99.5,89.5,42.25,54.33,218,170.33,136.33,163.67,202,140,43.75,306.33,20.5,19.75,24.75,39.33,2022-10-02
Karnataka,48.64,37.36,44.27,73.55,113.45,110.73,101.45,102.27,41,44,185.45,188.18,135.27,151.27,158.27,114.36,51.36,321.73,18.64,32.09,25.18,35.27,2022-10-02
Madhya Pradesh,33.3,26.4,31.9,67.3,102.7,92.9,93.8,91.2,40.7,57.4,179.2,166.5,144.7,139.7,170.7,121.33,43.6,261.6,19,25.8,19.3,37,2022-10-02
Maharashtra,41,33.54,39.31,68.92,114.23,107.31,102,96,40.31,53.85,183.08,178.58,146.23,135.38,164.23,118.8,49.54,268.38,21.38,29.31,22.54,30.54,2022-10-02
Meghalaya,28.67,36.33,34.67,79,104.33,117.33,110.67,92.67,44.67,67.33,,156.67,140,150,200,150,75,330,28.67,36,43.33,54.33,2022-10-02
Odisha,32.17,34.5,35.5,67.5,109.83,95,95.33,84.5,43.67,47.67,180,166.5,112.83,169,155.83,103.33,49.17,230.8,24.5,25,22.67,41,2022-10-02
Puducherry,34,39,36,79,125,129,107,102,42,44,174,190,164,,138,93,52,328,25,35,25,30,2022-10-02
Punjab,39,22.67,26.67,76.67,121,118.33,112.67,111,41,53.67,212.67,178,156.67,161,202,107,54,295.33,24,26.67,26,40,2022-10-02
Rajasthan,35.6,28.6,30.8,77.2,114,107.2,99.4,95.6,41.8,49.4,193.2,168.6,139.8,163.2,196,139.5,46.8,263.6,21.2,27.6,26,43.4,2022-10-02
Tamil Nadu,50.11,39.22,47.33,74.11,120.44,123.78,105.56,99.78,40.11,41.67,207.22,209.25,141,,162.56,106.11,53.67,270,24.11,40.22,25.22,36.67,2022-10-02
Telangana,38,32.75,39,68.25,104.75,110.5,102.75,93.5,39.75,55.75,169.25,179,138.75,170,169.75,126.5,53,279.5,17.5,21.25,24.5,38.25,2022-10-02
Tripura,45,,35,75,110,110,110,105,50,72,,170,135,155,190,135,52,179,10,30,30,58,2022-10-02
Uttar Pradesh,33.79,25.75,31.21,72.96,107.04,103.5,99.21,94.17,41.46,57.46,187,164.83,145.63,149.58,173,127.46,47.29,276.25,24.58,22.63,21.71,41.42,2022-10-02
Uttarakhand,31,27,31,73,108,113,109,98,45,61,198,171,177,168,191,,42,280,27,27,28,40,2022-10-02
West Bengal,42.5,24,31.5,72,112.25,102.5,110.25,104.25,43,49,194.67,162.75,130,146.25,171.25,135,50.75,278.5,18.5,24,24.25,52.5,2022-10-02
Andaman and Nicobar,45.33,40,65,84.67,124.67,137.67,122,116,51.67,67.67,224.5,224.67,205.33,,206.33,145.67,71.67,305,19.67,50,43.33,75,2022-10-03
Andhra Pradesh,54,41,43.5,71,116.25,122,107.75,106,41,56.25,173.75,193.75,138.5,170,158.25,107.25,55.25,340.25,20,34.75,25.5,40.5,2022-10-03
Arunachal pradesh,30.25,40,39.5,85.25,117.5,116.75,115.75,108.75,49.5,68,,162.5,170.75,165.5,206.67,138,73,273.33,20,29.33,33.33,59,2022-10-03
Assam,31,29,35,63,105,81,90,80,42,65,210,168,159,145,165,135,44,200,11,29,30,50,2022-10-03
Bihar,39.59,27.07,33.66,67.93,108.28,106.38,101.24,87.52,42.72,51.17,194.58,165.55,138.71,151.24,187.18,127.39,47.66,285.72,20.62,20.96,21.61,45.29,2022-10-03
Chandigarh,38,24,28,78,113,111,112,90,42,57,177,177,175,168,170,145,48,229,23,28,28,49,2022-10-03
Chhattisgarh,32.17,29.17,33.67,71.83,99.17,97.33,98.83,87.33,40.17,56.17,190.67,174.33,139.83,145.83,172.33,138.67,44.5,301.33,19.33,25.83,24.83,39.67,2022-10-03
Delhi,32,25,30,72,113,127,103,93,41,52,207,179,152,150,194,115,57,224,26,30,25,52,2022-10-03
DNH and DD,38.33,30.67,33.5,72.33,113,118.33,105.67,104.33,38,56,199.67,188,167.5,163,193.67,125.67,49.67,235.5,24,21.33,24.5,30,2022-10-03
Goa,39,39,38,78,123,117,115,105,41,52,205,182,192,172,175,105,55,307,23,37,27,42,2022-10-03
